agricola,farmer
aqua,water
causa,"cause, reason"
domina,"mistress, lady"
fīlia,daughter
fortūna,fortune
fuga,flight
iniūria,"wrong, injury"
lūna,moon
nauta,sailor
puella,girl
silva,forest
terra,land
dea,goddess
fera,wild beast
sagitta,arrow
corōna,"wreath, garland, crown"
fabula,story
pecūnia,money
pugna,battle
victōria,victory
ancilla,maidservant
casa,cottage
cēna,dinner
gallīna,hen
īnsula,island
tuba,trumpet
via,"way, road, street"
bellum,war
cōnstantia,"firmness, constancy, steadiness"
dominus,"master, lord"
equus,horse
frūmentum,grain
lēgātus,"lieutenant, ambassador"
mūrus,wall
oppidānus,townsman
oppidum,town
pīlum,spear
servus,"slave, servant"
amīcus,friend
patria,fatherland
populus,people
vīcus,village
arma,"arms, defensive weapons"
fāma,"rumor, reputation, fame"
galea,helmet
praeda,"spoils, loot"
tēlum,"offensive weapon, spear"
fīlius,son
fluvius,river
gladius,sword
praesīdium,"garrison, guard, protection"
proelium,battle
